shape,rho,m_rows,n_cols,n,k,method,time_s,rep,M_implied,M_formula
square,,60,60,60,,LU_solve,0.016553600000000168,0,60.0,9.0
square,,60,60,60,,Cholesky_solve,0.002850999999999937,0,60.0,9.0
square,,60,60,60,,QR,0.00733510000000015,0,60.0,9.0
square,,60,60,60,,SVD,0.007388799999999973,0,60.0,9.0
square,,60,60,60,,LU_solve,0.00021649999999984182,1,60.0,9.0
square,,60,60,60,,Cholesky_solve,8.059999999998624e-05,1,60.0,9.0
square,,60,60,60,,QR,0.0006209000000001463,1,60.0,9.0
square,,60,60,60,,SVD,0.0005691000000001001,1,60.0,9.0
square,,90,90,90,,LU_solve,0.00044080000000001895,0,90.0,9.0
square,,90,90,90,,Cholesky_solve,0.00013079999999998648,0,90.0,9.0
square,,90,90,90,,QR,0.0020613000000000437,0,90.0,9.0
square,,90,90,90,,SVD,0.0014009999999999856,0,90.0,9.0
square,,90,90,90,,LU_solve,6.90999999999331e-05,1,90.0,9.0
square,,90,90,90,,Cholesky_solve,0.000126400000000082,1,90.0,9.0
square,,90,90,90,,QR,0.0010445999999999511,1,90.0,9.0
square,,90,90,90,,SVD,0.0011176999999999992,1,90.0,9.0
square,,120,120,120,,LU_solve,0.00011269999999985458,0,120.0,9.0
square,,120,120,120,,Cholesky_solve,0.00017550000000010613,0,120.0,9.0
square,,120,120,120,,QR,0.02543419999999985,0,120.0,9.0
square,,120,120,120,,SVD,0.002955599999999947,0,120.0,9.0
square,,120,120,120,,LU_solve,0.00014089999999988834,1,120.0,9.0
square,,120,120,120,,Cholesky_solve,0.00024980000000018876,1,120.0,9.0
square,,120,120,120,,QR,0.0011806999999999235,1,120.0,9.0
square,,120,120,120,,SVD,0.0022538000000000835,1,120.0,9.0
square,,160,160,160,,LU_solve,0.0020831999999999518,0,160.0,9.0
square,,160,160,160,,Cholesky_solve,0.0024740000000000872,0,160.0,9.0
square,,160,160,160,,QR,0.0021193999999999935,0,160.0,9.0
square,,160,160,160,,SVD,0.004737299999999944,0,160.0,9.0
square,,160,160,160,,LU_solve,0.0013516000000000084,1,160.0,9.0
square,,160,160,160,,Cholesky_solve,0.0014334999999998654,1,160.0,9.0
square,,160,160,160,,QR,0.0018871000000000304,1,160.0,9.0
square,,160,160,160,,SVD,0.004090499999999997,1,160.0,9.0
square,,200,200,200,,LU_solve,0.0010824000000000389,0,200.0,9.0
square,,200,200,200,,Cholesky_solve,0.0015979999999999883,0,200.0,9.0
square,,200,200,200,,QR,0.0029968000000000217,0,200.0,9.0
square,,200,200,200,,SVD,0.005790399999999973,0,200.0,9.0
square,,200,200,200,,LU_solve,0.0010191999999999979,1,200.0,9.0
square,,200,200,200,,Cholesky_solve,0.0023204999999999476,1,200.0,9.0
square,,200,200,200,,QR,0.0027414999999999523,1,200.0,9.0
square,,200,200,200,,SVD,0.006372900000000126,1,200.0,9.0
tall,1.5,90,60,60,,QR,0.0012297000000001113,0,,
tall,1.5,90,60,60,,SVD,0.0017416000000001208,0,,
tall,1.5,90,60,60,,LS_QR,0.001962400000000031,0,,
